Transaction ID,creditLimit,availableMoney,transactionAmount,cardPresent,CVVcorrect,account_age,isFraud
1,15000,9193.34,394.01,1,1,28,1
2,250,151.98,321.21,0,1,32,0
3,2500,2448.24,312.77,0,1,20,0
4,20000,1255.53,311.63,0,1,14,0
5,5000,1594.94,675.46,0,1,4,1
6,1000,552.1,355.59,0,1,14,0
7,2500,446.99,751.25,0,1,71,1
8,1000,296.12,867.22,0,1,48,1
9,5000,4392.7,443.55,0,1,16,0
10,5000,894.78,691.65,1,1,27,1
11,50000,4587.5,1006.34,0,1,51,1
12,1000,639.17,300.47,0,1,9,0
13,5000,1346.86,518.35,0,1,6,1
14,7500,2774.35,365.11,0,0,24,1
15,2500,2031.79,407.87,0,1,16,1
16,20000,17008.74,335.96,0,1,93,1
17,2500,1822.56,365.86,0,1,8,1
18,15000,6847.13,420.39,0,1,19,1
19,5000,2679.52,539.08,0,1,25,1
20,10000,4397.07,315.49,0,1,147,1
21,5000,1032.26,486.39,1,1,48,1
22,7500,6381.03,351.22,1,1,13,1
23,2500,1496.36,488.54,0,1,78,1
24,5000,2107.79,443.71,0,0,29,1
25,1000,796.9,440.26,0,1,87,1
26,7500,3132.3,466.36,0,1,16,1
27,5000,1937.13,829.43,0,1,42,1
28,15000,9650.83,591.35,0,1,18,1
29,50000,48904.97,361.88,1,1,16,1
30,5000,4272.78,651.45,0,1,10,1
31,15000,1072.42,520.12,0,1,21,1
32,2500,1074.35,320.24,0,1,30,1
33,250,97.5,581.07,0,1,62,1
34,5000,1820.16,782.83,0,1,43,1
35,7500,7396.12,440.37,0,1,42,1
36,2500,775.9,622.22,0,1,13,1
37,7500,7265.82,306.33,1,1,7,1
38,7500,6863.29,352.73,0,1,44,1
39,15000,13490.56,475.22,1,1,12,1
40,250,250,624.49,0,1,13,1
41,15000,3147.64,318.33,1,1,17,1
42,10000,2264.33,416.33,1,1,48,1
43,5000,626.57,370.82,1,1,8,1
44,15000,13880.57,361.05,0,1,18,1
45,7500,7229.62,320.24,0,1,24,1
46,15000,14988.97,536.98,0,1,17,1
47,15000,2456.95,511.52,1,0,17,1
48,2500,1194.35,445.68,0,1,37,1
49,5000,2199.66,344.95,0,1,48,1
50,15000,13183.95,315.58,1,1,8,1
51,5000,1140.08,381.4,0,1,15,1
52,15000,10129.93,436.74,0,1,17,1
53,5000,2729.2,321.63,0,1,45,1
54,15000,11632.49,698.1,1,1,24,1
55,5000,1659.59,322.61,0,1,11,1
56,7500,5754.4,410.09,0,1,13,1
57,250,122.26,456.93,0,1,19,1
58,5000,4094.77,314.78,0,1,21,1
59,15000,2151.58,440.2,0,1,34,1
60,10000,9121.12,462.89,0,1,8,1
61,5000,4141.97,350.36,0,1,22,1
62,50000,49351.5,366.16,0,1,56,1
63,5000,822.13,365.11,1,1,12,1
64,5000,1045.31,368.75,0,1,22,1
65,10000,6897.36,395.89,1,1,29,1
66,5000,4018.37,377.84,0,1,35,1
67,2500,758.69,678.5,0,1,76,1
68,15000,8425.32,678.75,1,1,31,1
69,10000,2332.29,368.11,0,1,11,1
70,1000,671.85,577.19,0,1,34,1
71,5000,1031.83,449.29,1,1,2,1
72,5000,711.28,497.19,0,0,16,1
73,5000,1921.69,592.93,0,1,29,1
74,250,234.05,553.21,0,1,24,1
75,500,47.71,529.01,0,1,32,1
76,500,52.82,637.25,0,1,40,1
77,10000,3071.61,368.67,0,1,10,1
78,500,405.8,331.62,0,1,36,1
79,10000,4098,368.44,1,1,15,1
80,250,207.92,1020.11,0,1,23,1
81,5000,1554.78,388.36,0,1,21,1
82,20000,6736.03,342.45,1,1,7,1
83,2500,1190.23,817.42,0,1,41,1
84,15000,7908.58,960.74,0,1,26,1
85,15000,5812.42,692.13,0,1,18,1
86,500,230.16,465.24,0,1,33,1
87,10000,9897.35,803.69,1,1,18,1
88,7500,7500,523.99,0,1,30,1
89,15000,1171.58,368.28,1,1,20,1
90,5000,750.69,335.09,0,1,23,1
91,500,99.91,568.67,0,1,25,1
92,1000,181.66,695.62,0,1,38,1
93,15000,12186.81,412.57,0,1,23,1
94,10000,8846.5,543.77,1,1,55,1
95,7500,4450.8,545.36,1,1,110,1
96,15000,12242.75,1052.63,0,1,11,1
97,15000,6452.34,524.34,0,1,26,1
98,2500,767.78,853.87,0,1,5,1
99,5000,5000,393.94,0,1,8,1
100,7500,7108.04,333.39,1,1,13,1
101,15000,10988.45,401.44,1,1,6,1
102,2500,2392.59,467.66,1,1,1,1
103,20000,19780.55,798.08,0,1,26,1
104,5000,969.53,323.79,1,1,50,1
105,15000,1320.63,620.27,0,1,33,1
106,15000,1715.91,747.93,0,1,12,1
107,5000,986.06,473.96,0,1,15,1
108,7500,1112.92,336.57,0,1,15,1
109,1000,314.83,597.3,0,1,24,1
110,2500,1029.12,409.52,0,1,5,1
111,15000,13093.08,339.66,1,1,69,1
112,5000,435.44,1032.26,1,1,12,1
113,15000,1919.98,371.89,0,1,13,1
114,500,-318.47,450.4,1,1,17,1
115,2500,2500,470.41,0,1,19,1
116,15000,13486.3,353.52,1,1,62,1
117,5000,2229.91,378.25,0,1,19,1
118,50000,45521.76,753.97,0,0,72,1
119,5000,1498.8,643.65,0,1,14,1
120,20000,17172.91,510.49,1,1,15,1
121,1000,694.55,399.18,1,1,16,1
122,2500,943.37,834.61,0,1,16,1
123,10000,1728.53,348.97,0,1,64,1
124,15000,4690.17,354.19,1,1,35,1
125,15000,8380.03,637.06,1,1,35,1
126,1000,649.05,351.45,0,1,50,1
127,15000,7749.94,487.67,1,1,34,1
128,15000,11522.65,435.81,1,1,21,1
129,15000,950.05,399.25,1,1,34,1
130,250,61.14,380.54,0,1,5,1
131,15000,1546.55,429.38,0,1,34,1
132,15000,1355.41,331.36,1,1,32,1
133,15000,1754.87,330.57,0,1,32,1
134,15000,12435.04,424.61,1,1,30,1
135,7500,7288.64,380.78,0,1,73,1
136,5000,2035.03,889.04,0,1,19,1
137,15000,5416.42,557.59,0,1,28,1
138,7500,6569.86,311.88,0,1,14,1
139,15000,1000.6,560.78,1,1,28,1
140,50000,47624.79,1012.33,0,1,27,1
141,15000,2062.52,708.51,0,1,19,1
142,5000,2838.33,422.1,1,1,44,1
143,5000,1549.94,738.94,0,1,7,1
144,15000,7075.18,545.12,0,1,26,1
145,5000,1597.01,531.15,0,1,14,1
146,15000,8633.82,395.58,0,1,25,1
147,15000,4178.83,509.37,0,1,13,1
148,250,73.36,656.68,1,1,28,1
149,2500,427.3,316.35,0,1,73,1
150,20000,1056.23,322.93,0,1,14,1
